"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","116500","0.04",,"10000","4925000","Sell","Equity Shares","106500","0.03","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172114_1255993_30092024111550_WEB.xml"
"AADHARHFC","Aadhar Housing Finance Limited","7(2)","Anmol Gupta","-","Equity Shares","106500","0.04",,"5000","2475000","Pledge Revoke","Equity Shares","106500","0.04","27-Sep-2024","27-Sep-2024","30-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2024 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172114_1255993_30092024111550_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6212480","0.25",,"61","60524","Sell","Equity Shares","6212419","0.25","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 22:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172111_1255981_30092024105149_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6167024","0.25",,"22925","22925","Sell","Equity Shares","6144099","0.25","24-Sep-2024","24-Sep-2024","26-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2024 22:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172111_1255981_30092024105149_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  OPJ ESOP Plan 2021 A/c","Other","Equity Shares","6211976","0.25",,"44952","44952","Sell","Equity Shares","6167024","0.25","24-Sep-2024","24-Sep-2024","26-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2024 22:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172111_1255981_30092024105149_WEB.xml"
"JSWSTEEL","JSW Steel Limited","7(2)","JSW Steel Employees Welfare Trust ?  JSWSL OPJ Samruddhi Plan 2021 A/c","Other","Equity Shares","6212419","0.25",,"443","439496","Sell","Equity Shares","6211976","0.25","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 22:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172111_1255981_30092024105149_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","KALIDINDI GAUTAM","Director","Equity Shares","2434970","5.38",,"56200","11999824","Buy","Equity Shares","2491170","5.51","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 22:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172109_1255961_30092024101602_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Nirhmal Goradia","Promoter Group","Equity Shares","89463","0.2",,"3000","640040","Buy","Equity Shares","92463","0.2","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 22:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172109_1255961_30092024101602_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","Utkal B Goradia","Director","Equity Shares","153524","0.34",,"4619","986869","Buy","Equity Shares","158143","0.35","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 22:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172109_1255961_30092024101602_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL holdings (A&S) Ltd","Promoter Group","Equity Shares","1618406","3.58",,"63819","13551965","Sell","Equity Shares","1554587","3.44","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 21:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172107_1255942_30092024095943_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","NCL holdings (A&S) Ltd","Promoter Group","Equity Shares","1793406","3.96",,"175000","37275000","Sell","Equity Shares","1618406","3.58","27-Sep-2024","27-Sep-2024","27-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2024 21:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172105_1255931_30092024094901_WEB.xml"
"NCLIND","NCL Industries Limited","7(2)","KALIDINDI RAVI","Director","Equity Shares","2651835","5.86",,"175000","37275000","Buy","Equity Shares","2826835","6.25","27-Sep-2024","27-Sep-2024","27-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2024 21:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172105_1255931_30092024094901_WEB.xml"
"NIITMTS","Niit Learning Systems Limited","7(2)","Ashish Amalwar","-","Equity Shares","20000","0.01",,"20000","10742000","Pledge","Equity Shares","20000","0.01","24-Sep-2024","24-Sep-2024","26-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2024 21:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172103_1255877_30092024091238_WEB.xml"
"DRSDILIP","DRS Dilip Roadlines Limited","7(2)","ANJANI KUMAR AGARWAL","Promoters","Equity Shares","2727650","18.11",,"48000","3844800","Buy","Equity Shares","2775650","18.43","27-Sep-2024","27-Sep-2024","27-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 20:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172101_1255858_30092024085645_WEB.xml"
"EDELWEISS","Edelweiss Financial Services Limited","7(2)","RUJAN PANJWANI","Employees/Designated Employees","Equity Shares","7700000","0.82",,"100000","14190000","Sell","Equity Shares","7600000","0.8","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 20:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172099_1255802_30092024082531_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","Tata Sons Private Limited","Promoters","Equity Shares","38511281","0.11",,"38511281","0","Sell","Equity Shares","Nil","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","The Tata Power Company Limited","Promoter Group","Equity Shares","357159","0.01",,"34644","38501609","Buy","Equity Shares","391803","0.01","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","Ewart Investments Limited","Promoter Group","Equity Shares","440645","0",,"440645","0","Sell","Equity Shares","Nil","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","Ewart Investments Limited","Promoter Group","Equity Shares","3084542","0.09",,"299204","332520365","Buy","Equity Shares","3383746","0.09","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","The Tata Power Company Limited","Promoter Group","Equity Shares","51022","0",,"51022","0","Sell","Equity Shares","Nil","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"TATAMOTORS","Tata Motors Limited","7(2)","Tata Sons Private Limited","Promoter Group","Equity Shares","1452113801","43.03",,"26149740","29061513549","Buy","Equity Shares","1478263541","40.16","25-Sep-2024","25-Sep-2024","27-Sep-2024","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","30-Sep-2024 20:10","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172097_1255770_30092024081021_WEB.xml"
"DRSDILIP","DRS Dilip Roadlines Limited","7(2)","ANJANI KUMAR AGARWAL","Promoters","Equity Shares","2664450","17.69",,"63200","5289880","Buy","Equity Shares","2727650","18.11","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 20:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172096_1255758_30092024080739_WEB.xml"
"DRSDILIP","DRS Dilip Roadlines Limited","7(2)","SANJAY KUMAR AGARWAL","Promoters","Equity Shares","1997950","13.26",,"84000","6957800","Buy","Equity Shares","2081950","13.82","25-Sep-2024","27-Sep-2024","27-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","30-Sep-2024 20:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172096_1255758_30092024080739_WEB.xml"
"HINDOILEXP","Hindustan Oil Exploration Company Limited","7(2)","R JEEVANANDAM","Director","Equity Shares","4992124","3.78",,"800000","184041520","Sell","Equity Shares","4192124","3.17","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 19:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172093_1255683_30092024074456_WEB.xml"
"VLEGOV","VL E Governance & IT Solutions Limited","7(2)","Vakrangee Holdings Private Limited","Promoter Group","Equity Shares","25095038","23.69",,"428942","65413655","Sell","Equity Shares","24666096","23.28","26-Sep-2024","26-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 19:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172091_1255604_30092024072808_WEB.xml"
"KEI","KEI Industries Limited","7(2)","JASHOBANTSINGHARAY","-","Equity Shares","13500","0.01",,"1500","337500","Buy","Equity Shares","15000","0.02","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","RAJEEV GUPTA","Director","Equity Shares","356691","0.39",,"12000","2700000","Buy","Equity Shares","368691","0.41","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","DILIP KUMAR BARNWAL","-","Equity Shares","36500","0.04",,"3000","675000","Buy","Equity Shares","39500","0.04","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","KALI CHARAN SHARMA","-","Equity Shares","81741","0.09",,"3000","675000","Buy","Equity Shares","84741","0.09","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","KISHORE KUNAL","-","Equity Shares","42867","0.05",,"2000","450000","Buy","Equity Shares","44867","0.05","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","LALIT SHARMA","-","Equity Shares","76252","0.08",,"8000","1800000","Buy","Equity Shares","84252","0.09","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","ADARSH KUMAR JAIN","-","Equity Shares","40000","0.04",,"2500","562500","Buy","Equity Shares","42500","0.05","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","MANOJ KAKKAR","-","Equity Shares","60000","0.07",,"8000","1800000","Buy","Equity Shares","68000","0.07","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","DAYA NAND SHARMA","-","Equity Shares","3000","0",,"3000","675000","Buy","Equity Shares","6000","0.01","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","NAWAL SINGH YADAV","-","Equity Shares","200","0",,"2000","450000","Buy","Equity Shares","2200","0","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"KEI","KEI Industries Limited","7(2)","PAWAN KUMAR JAIN","-","Equity Shares","75000","0.08",,"3000","675000","Buy","Equity Shares","78000","0.09","28-Sep-2024","28-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172089_1255577_30092024072020_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ashutosh Goel","Employees/Designated Employees","Equity Shares","2900","0",,"300","903147","Sell","Equity Shares","2600","0","23-Sep-2024","23-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172087_1255571_30092024071852_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ashutosh Goel","Employees/Designated Employees","Equity Shares","2600","0",,"300","952800","Sell","Equity Shares","2300","0","26-Sep-2024","26-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172087_1255571_30092024071852_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","LJNK Trust","Promoters","Equity Shares","6671823","3.74",,"98989","39595600","Sell","Equity Shares","6572834","3.75","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","Mega Trust","Promoters","Equity Shares","7921617","4.44",,"117532","47012800","Sell","Equity Shares","7804085","4.45","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","Mr. Ankit Jain","Promoters","Equity Shares","21746967","12.19",,"322659","129063600","Sell","Equity Shares","21424308","12.21","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","Mr. Harsh Jain","Promoters","Equity Shares","23253153","13.03",,"345006","138002400","Sell","Equity Shares","22908147","13.05","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","Mega Pipes Pvt Ltd","Promoters","Equity Shares","200000","0.11",,"2967","1186800","Sell","Equity Shares","197033","0.11","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","NK Trust","Promoters","Equity Shares","10887100","6.1",,"161532","64612800","Sell","Equity Shares","10725568","6.11","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"JAICORPLTD","Jai Corp Limited","7(2)","Mr. Gaurav Jain","Promoters","Equity Shares","18213394","10.21",,"270232","108092800","Sell","Equity Shares","17943162","10.22","27-Sep-2024","27-Sep-2024","30-Sep-2024","Others","-","-","0","0","0","0","BSE","-","30-Sep-2024 19:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172086_1255564_30092024071802_WEB.xml"
"DBREALTY","Valor Estate Limited","7(2)","Subramanian K. Mudaliyar","Employees/Designated Employees","Equity Shares","4505","0",,"2500","496514","Sell","Equity Shares","2005","0","16-Aug-2024","25-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172085_1255562_30092024071753_WEB.xml"
"DBREALTY","Valor Estate Limited","7(2)","JOHN BAPTIST D SOUZA","Employees/Designated Employees","Equity Shares","42500","0.01",,"28000","5403213","Sell","Equity Shares","14500","0","23-Sep-2024","25-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","BSE,NSE","-","30-Sep-2024 19:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172084_1255555_30092024071718_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","63947247","48.72",,"29130232","25416127420","Pledge","Equity Shares","63947247","48.72","30-Sep-2024","30-Sep-2024","30-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172079_1255497_30092024070415_WEB.xml"
"KPIGREEN","KPI Green Energy Limited","7(2)","Farukbhai Gulambhai Patel","Promoters","Equity Shares","63947247","48.72",,"29130232","25416127420","Pledge Revoke","Equity Shares","63947247","48.72","30-Sep-2024","30-Sep-2024","30-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2024 19:00","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172077_1255481_30092024070034_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Prakash D K","-","Equity Shares","7284","0",,"2324","6100000","Pledge","Equity Shares","7284","0","27-Sep-2024","27-Sep-2024","30-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Ramcharan Sesharaman","-","Equity Shares","7057","0",,"6318","28363663","Sell","Equity Shares","739","0","27-Sep-2024","27-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Ramcharan Sesharaman","-","Equity Shares","8306","0",,"1249","5603308","Sell","Equity Shares","7057","0","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Girish Shankar Krishnamoorthy","-","Equity Shares","4597","0",,"2000","9075733","Sell","Equity Shares","2597","0","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Subramanian B","-","Equity Shares","7730","0",,"2829","13000000","Pledge","Equity Shares","7730","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Pledge Creation","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"CAMS","Computer Age Management Services Limited","7(2)","Narayanan K S","-","Equity Shares","7354","0",,"1258","2700000","Pledge","Equity Shares","7354","0","27-Sep-2024","27-Sep-2024","30-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2024 18:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172072_1255436_30092024065106_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Arit Chatterjee","Employees/Designated Employees","Equity Shares","Nil","0",,"250","543735","Buy","Equity Shares","250","0","30-Aug-2024","30-Aug-2024","30-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Arit Chatterjee","Employees/Designated Employees","Equity Shares","250","0",,"250","826000","Sell","Equity Shares","Nil","0","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Karthik Srinivasan","Employees/Designated Employees","Equity Shares","Nil","0",,"250","543735","Buy","Equity Shares","250","0","04-Sep-2024","04-Sep-2024","30-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Karthik Srinivasan","Employees/Designated Employees","Equity Shares","250","0",,"250","828950","Sell","Equity Shares","Nil","0","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Nimish Jindal","Employees/Designated Employees","Equity Shares","3700","0",,"300","1016000","Sell","Equity Shares","3400","0","12-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","MRIDULA PALIWAL","Other","Equity Shares","3700","0",,"1850","6197500","Sell","Equity Shares","1850","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Prashant Kishore","Employees/Designated Employees","Equity Shares","2640","0",,"1000","3279567","Sell","Equity Shares","1640","0","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172070_1255413_30092024064651_WEB.xml"
"SANGINITA","Sanginita Chemicals Limited","7(2)","Sanginita Industries LLP","Promoters","Equity Shares","3623778","13.99",,"38533","614895","Sell","Equity Shares","3585245","13.84","19-Sep-2024","19-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172069_1255411_30092024064559_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(3)","SHAILESH DUBEY","-","Equity Shares","13228","0",,"400","911200","Pledge Revoke","Equity Shares","13228","0","24-Sep-2024","24-Sep-2024","26-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2024 18:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172067_1255407_30092024064547_WEB.xml"
"ICICIGI","ICICI Lombard General Insurance Company Limited","7(3)","SHAILESH DUBEY","-","Equity Shares","13228","0",,"400","911200","Sell","Equity Shares","12828","0","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172067_1255407_30092024064547_WEB.xml"
"BAJAJELEC","Bajaj Electricals Limited","7(2)","SHRINIVAS SUBHASH GOKHALE","Employees/Designated Employees","Equity Shares","Nil","0",,"1000","966480","Buy","Equity Shares","1000","0","13-Sep-2024","13-Sep-2024","30-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172064_1255392_30092024064257_WEB.xml"
"BAJAJELEC","Bajaj Electricals Limited","7(2)","RAJESH EKNATH NAIK","Employees/Designated Employees","Equity Shares","11000","0.01",,"1107","1070148","Sell","Equity Shares","9893","0.01","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172064_1255392_30092024064257_WEB.xml"
